,horn_schunk_ssim,horn_schunk_psnr,multiscale_horn_schunk_ssim,multiscale_horn_schunk_psnr,lukas_kanade_ssim,lukas_kanade_psnr,multiscale_lukas_kanade_ssim,multiscale_lukas_kanade_psnr
1,0.5778456830377696,18.44518740347577,0.5465757394657086,17.72415560942262,0.5543844979518272,18.271299912182435,0.5244399994130008,17.884671959417588
3,0.42171483126282994,15.095461341261851,0.40926473598920765,14.498730930800699,0.38851875600170716,14.985375974630307,0.3499792560686778,14.479282693405116
5,0.5160859019556484,17.623465289881057,0.49851445153287177,16.980517679330198,0.492549084328704,17.519964731377314,0.46290423612265486,16.96892735703922
7,0.4651763000317321,15.500115616366656,0.4406116688501356,14.650219088936968,0.42378517569085133,15.397124250733349,0.3857438724483328,14.806249720997709
9,0.470938575492045,14.398911257239728,0.44639889980186104,13.780263020607052,0.42664003796166083,14.260687782753326,0.3738196495180799,13.877658980245789
