,horn_schunk_ssim,horn_schunk_psnr,multiscale_horn_schunk_ssim,multiscale_horn_schunk_psnr,lukas_kanade_ssim,lukas_kanade_psnr,multiscale_lukas_kanade_ssim,multiscale_lukas_kanade_psnr
1,0.5778456830377696,18.44518740347577,0.5449307555689071,17.624948033615297,0.5543844979518272,18.271299912182435,0.528365615481897,17.916867059956022
3,0.42171483126282994,15.095461341261851,0.40255928247761913,14.535104682775987,0.38851875600170716,14.985375974630307,0.36227848941095375,14.676956446064253
5,0.5160859019556484,17.623465289881057,0.4854218616476936,16.868110851011085,0.492549084328704,17.519964731377314,0.4697215800940525,17.07866264030702
7,0.4651763000317321,15.500115616366656,0.4445926936528146,14.908969557261422,0.42378517569085133,15.397124250733349,0.4068918538433528,15.159125328871788
9,0.470938575492045,14.398911257239728,0.4353444617346967,13.881711229643194,0.42664003796166083,14.260687782753326,0.3982072397317619,14.06453965125898
