,horn_schunk_ssim,horn_schunk_psnr,multiscale_horn_schunk_ssim,multiscale_horn_schunk_psnr,lukas_kanade_ssim,lukas_kanade_psnr,multiscale_lukas_kanade_ssim,multiscale_lukas_kanade_psnr
1,7.762192016811142e-05,-44.555794829629455,5.980049837638911e-05,-44.56941771179261,0.00014063834200066615,-44.55528503430383,6.470349718601277e-05,-44.620302728416554
3,2.0961856778907944e-05,-44.34824846384103,4.433936486188582e-06,-44.352470181661296,8.508242132457429e-05,-44.358031527947055,3.354875931850602e-05,-44.39485524859894
5,7.682638560322489e-05,-44.23602382077441,6.252197000794841e-05,-44.241865569937325,0.0001574189854185689,-44.24013616020356,6.673509347325411e-05,-44.31356482548716
7,1.5917575407573128e-05,-43.752434119844565,1.0310460136029086e-05,-43.75460056952589,2.6300360736825193e-05,-43.763093563870484,9.256146090372473e-06,-43.80337883853811
9,8.842298260535411e-06,-43.239267977889426,3.792067921758583e-06,-43.294624442544205,3.511346487292861e-06,-43.26426089898378,4.656553063502358e-06,-43.31801718938624
