,horn_schunk_ssim,horn_schunk_psnr,multiscale_horn_schunk_ssim,multiscale_horn_schunk_psnr,lukas_kanade_ssim,lukas_kanade_psnr,multiscale_lukas_kanade_ssim,multiscale_lukas_kanade_psnr
1,6.274360004737282e-05,-42.51902082141139,6.279041073925787e-05,-42.516983363437866,6.14142980189373e-05,-42.52483202072857,6.172828120738269e-05,-42.52119955330851
3,6.275677043048898e-05,-42.519504250853316,6.277353786152911e-05,-42.51746460115736,6.155917829247894e-05,-42.52520981518545,6.165920341994448e-05,-42.52142727346205
5,6.272583220715038e-05,-42.520012304708516,6.275394073137453e-05,-42.518045417112795,6.142844277174607e-05,-42.52591188128945,6.167424744111036e-05,-42.52190471924581
7,6.270065812986487e-05,-42.52081819093903,6.277413077934397e-05,-42.51852057605289,6.145628548018298e-05,-42.52623873249501,6.175650071117656e-05,-42.52223762632135
9,6.268293576018908e-05,-42.52064853598527,6.27888612961788e-05,-42.518614720323775,6.119369594106123e-05,-42.52605174354413,6.179835234685343e-05,-42.522109951335736
11,6.267910482690329e-05,-42.52029784403505,6.276950471963834e-05,-42.5181584259973,6.125318571463252e-05,-42.5255549998471,6.17433612150146e-05,-42.52135644320457
13,6.270904514465021e-05,-42.51945074282179,6.27715952421412e-05,-42.51726772415814,6.141423632808218e-05,-42.524762583168226,6.176113057041628e-05,-42.52059030137603
15,6.271250438840696e-05,-42.51825814922693,6.276943486197738e-05,-42.51645820133053,6.150295470592324e-05,-42.52396709403357,6.168049753666725e-05,-42.52021028749994
17,6.270086109825267e-05,-42.51795077305408,6.278815813913927e-05,-42.515879237580386,6.13876160691519e-05,-42.52347451641384,6.179659448487854e-05,-42.51927963996092
