,horn_schunk_ssim,horn_schunk_psnr,multiscale_horn_schunk_ssim,multiscale_horn_schunk_psnr,lukas_kanade_ssim,lukas_kanade_psnr,multiscale_lukas_kanade_ssim,multiscale_lukas_kanade_psnr
1,0.9974085405021217,46.90037652387613,0.9978023527434468,47.44504922447541,0.9911384532686299,43.77351429394555,0.9937748190531281,44.73013194734957
3,0.9974923772435578,47.00818976594925,0.9977986322720485,47.478462026629764,0.9917927443618078,43.87741812588278,0.9932401934146405,44.52879959011945
5,0.9974195254408391,46.94972776592853,0.9978142777859169,47.54113703093253,0.9910835059886997,43.67713605678745,0.99336885969196,44.65618613273257
7,0.9972906053249926,46.855625310116196,0.997819262649865,47.53791540221546,0.9909977961860531,43.475413699545285,0.9938468511448715,44.886538507261776
9,0.9972156997309469,46.78122735205679,0.9978322480307553,47.511851422399616,0.9894097946616881,43.059331558758075,0.9939174423437576,44.80283503430758
11,0.9973442633095345,46.85692067237446,0.9977958634152625,47.342883446622324,0.9896805142944047,43.1313223029226,0.9930544492615698,44.16114263023144
13,0.9974466032102516,46.95278952870582,0.9977131043513212,47.06583490728938,0.9910069229914482,43.57094121800591,0.9933766214930183,44.26630445718522
15,0.9975301099092743,47.026842745982265,0.9977714210558013,47.37123020911889,0.9913438555250484,43.640418786471294,0.9932015280331089,44.30829114721326
17,0.9974346088846194,46.96107538007456,0.9977711739245523,47.39701149144393,0.9907222321440292,43.544538414113056,0.993717651599875,44.63904860865842
