,horn_schunk_ssim,horn_schunk_psnr,multiscale_horn_schunk_ssim,multiscale_horn_schunk_psnr,lukas_kanade_ssim,lukas_kanade_psnr,multiscale_lukas_kanade_ssim,multiscale_lukas_kanade_psnr
1,0.9974085405021217,46.90037652387613,0.9953184191703368,43.87383147505319,0.9911384532686299,43.77351429394555,0.9935244888278676,44.99160438055648
3,0.9974923772435578,47.00818976594925,0.9948695446904301,43.566497957661035,0.9917927443618078,43.87741812588278,0.9937951211265161,45.21778125108061
5,0.9974195254408391,46.94972776592853,0.994397135272437,43.41000739008219,0.9910835059886997,43.67713605678745,0.9940601233781892,45.35751981798886
7,0.9972906053249926,46.855625310116196,0.9942701268053448,43.23592973914572,0.9909977961860531,43.475413699545285,0.9940117250301006,45.14254565119157
9,0.9972156997309469,46.78122735205679,0.994251522416628,42.96056102553068,0.9894097946616881,43.059331558758075,0.993327436387598,44.66756731630426
11,0.9973442633095345,46.85692067237446,0.9938650611134604,42.70886924900636,0.9896805142944047,43.1313223029226,0.9923854012644757,44.123654087893904
13,0.9974466032102516,46.95278952870582,0.9937640004311815,42.69065055478225,0.9910069229914482,43.57094121800591,0.992533231214425,44.04988861426836
15,0.9975301099092743,47.026842745982265,0.9939356673428075,42.98682047154526,0.9913438555250484,43.640418786471294,0.9930541434654466,44.360611231625114
17,0.9974346088846194,46.96107538007456,0.9941461652910281,43.197756993749,0.9907222321440292,43.544538414113056,0.9933427878041214,44.495200857775295
